klo: kalau
krn: karena
dg: dengan
yg: yang
utk: untuk
hrs: harus
tp: tapi
gak: tidak
ga: tidak
dgn: dengan
sm: sama
dll: dan lain-lain
cs: dan kawan-kawan
ttg: tentang
bt: buat
u/: untuk
jd: jadi
jdi: jadi
jg: juga
dr: dari
pd: pada
sdh: sudah
sdng: sedang
dlm: dalam
thd: terhadap
bs: bisa
ad: ada
tdk: tidak
dehhh: deh
banget: sangat
nih: ini
gimana: bagaimana
udh: sudah
udah: sudah
emang: memang
emgnya: memangnya
kaga: tidak
kagak: tidak
aje: saja
yee: ya
nie: ini
ame: sama
woy: hei
og: kok
cm: cuma
blm: belum
slh: salah
bhw: bahwa
blom: belum
teruuus: terus
bangeeeet: banget
pmrnth: pemerintah
pemrintah: pemerintah
kmi: kami
wrga: warga
tuk: untuk
jngn: jangan
jgn: jangan
djangan: jangan
kemampuanya: kemampuannya
fikiran: pikiran
dzolimi: zolimi
mslh: masalah
lhtlah: lihatlah
SebelumX: sebelumnya
KepX: kepada
maen: main
ngapain: mengapa
skg: sekarang
elu: kamu
gue: saya
gw: saya
lo: kamu
lu: kamu
bakal: akan
ntar: nanti
bener: benar
pinter: pintar
mantap: bagus
top: bagus
wkwkw: haha
wkwkek: haha
tololl: tolol
&amp: dan
krg: kurang
unt: untuk
shg: sehingga
kmn: kemana
yaa: ya
kok: mengapa
dmn: dimana
gmn: bagaimana
pagii: pagi
dijlnkan: dijalankan
amdalnyaklo: amdalnya kalau
pelbagai: berbagai
luasngapain: luas ngapain
memanjukan: memajukan
dlltapi: dll tapi
politikkeanehanapa: politik keanehan apa
bru: baru
hayuu: ayo
bg: bangun
